filename = Base.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x1005 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100c 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:1 Tag: 0x1010 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:1 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x100f 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1005 	
| V:1 D:0 Tag: 0x1005 	
| V:1 D:0 Tag: 0x1005 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1005 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x100e 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
| V:1 D:0 Tag: 0x1010 	
