filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802ada 	
| V:1 D:0 Tag: 0x401098 	
| V:1 D:0 Tag: 0x4035a0 	
| V:1 D:0 Tag: 0x40391f 	
| V:1 D:0 Tag: 0x401097 	
| V:1 D:0 Tag: 0x400687 	
| V:1 D:0 Tag: 0x4010ee 	
| V:1 D:0 Tag: 0x401462 	
| V:1 D:0 Tag: 0x401464 	
| V:1 D:0 Tag: 0x4013a5 	
| V:1 D:0 Tag: 0x4013a7 	
| V:1 D:0 Tag: 0x4013ad 	
| V:1 D:0 Tag: 0x403bd8 	
| V:1 D:0 Tag: 0x4013a6 	
| V:1 D:0 Tag: 0x403bd2 	
| V:1 D:0 Tag: 0x4013a4 	
| V:1 D:0 Tag: 0x4013a3 	
| V:1 D:0 Tag: 0x401463 	
| V:1 D:0 Tag: 0x401466 	
| V:1 D:0 Tag: 0x401461 	
| V:1 D:0 Tag: 0x4010ed 	
| V:1 D:0 Tag: 0x4010ea 	
| V:1 D:0 Tag: 0x4010ec 	
| V:1 D:0 Tag: 0x4011be 	
| V:1 D:0 Tag: 0x4012c6 	
| V:1 D:0 Tag: 0x4012c5 	
| V:1 D:0 Tag: 0x4012c4 	
| V:1 D:0 Tag: 0x4011bd 	
| V:1 D:0 Tag: 0x4011bc 	
| V:1 D:0 Tag: 0x4010e9 	
| V:1 D:0 Tag: 0x4011c9 	
| V:1 D:0 Tag: 0x4011c8 	
| V:1 D:0 Tag: 0x40129e 	
| V:1 D:0 Tag: 0x40129d 	
| V:1 D:0 Tag: 0x401645 	
